file,sweep,structure,orient,timestamp,wavelength_nm_max,power_dBm_max,note
sweep_1_1_20260204_163853.csv,1,1,angled,20260204_163853,1489.0,-74.9204,
sweep_1_1_p_20260204_191009.csv,1,1,parallel,20260204_191009,1570.0,-71.1437,
sweep_2_2_20260204_164353.csv,2,2,angled,20260204_164353,1597.0,-73.8322,
sweep_2_2_p_20260204_191726.csv,2,2,parallel,20260204_191726,1597.0,-69.7741,
sweep_3_3_20260204_153506.csv,3,3,angled,20260204_153506,1638.0,-56.0678,
sweep_3_3_20260204_165126.csv,3,3,angled,20260204_165126,1597.0,-52.4336,
sweep_3_3_p_20260204_192853.csv,3,3,parallel,20260204_192853,1597.0,-49.8428,
sweep_4_4_20260204_165821.csv,4,4,angled,20260204_165821,1513.0,-69.2036,
sweep_4_4_p_20260204_194130.csv,4,4,parallel,20260204_194130,1591.0,-67.6587,
sweep_5_5_20260204_170539.csv,5,5,angled,20260204_170539,1552.0,-74.2239,
sweep_5_5_20260204_170720.csv,5,5,angled,20260204_170720,1570.0,-77.2448,
sweep_5_5_20260204_171849.csv,5,5,angled,20260204_171849,1576.0,-75.1309,
sweep_5_5_p_20260204_194331.csv,5,5,parallel,20260204_194331,1579.0,-69.1029,
sweep_6_6_20260204_174905.csv,6,6,angled,20260204_174905,1594.0,-69.5397,
sweep_6_6_p_20260204_194836.csv,6,6,parallel,20260204_194836,1594.0,-67.8088,
sweep_7_7_20260204_161059.csv,7,7,angled,20260204_161059,1579.0,-58.7056,
sweep_7_7_p_20260204_195758.csv,7,7,parallel,20260204_195758,1594.0,-65.8058,
sweep_8_8_20260204_160416.csv,8,8,angled,20260204_160416,1546.0,-54.5752,
sweep_8_8_p_20260204_201313.csv,8,8,parallel,20260204_201313,1588.0,-67.0202,
sweep_8_8_p_20260205_104129.csv,8,8,parallel,20260205_104129,1558.0,-49.6031,
sweep_9_9_20260204_175441.csv,9,9,angled,20260204_175441,1600.0,-54.2783,
sweep_9_9_p_20260205_104424.csv,9,9,parallel,20260205_104424,1561.0,-51.1817,
sweep_10_10_20260204_175906.csv,10,10,angled,20260204_175906,1597.0,-56.0573,
sweep_10_10_p_20260205_105504.csv,10,10,parallel,20260205_105504,1600.0,-53.7408,
sweep_11_11_20260204_180556.csv,11,11,angled,20260204_180556,1510.0,-66.6184,
sweep_11_11_p_20260205_110136.csv,11,11,parallel,20260205_110136,1594.0,-64.9074,
sweep_12_12_20260204_181404.csv,12,12,angled,20260204_181404,1585.0,-66.6967,
sweep_12_12_p_20260205_111012.csv,12,12,parallel,20260205_111012,1600.0,-67.1679,
sweep_13_13_20260204_181751.csv,13,13,angled,20260204_181751,1597.0,-64.107,
sweep_13_13_p_20260205_112145.csv,13,13,parallel,20260205_112145,1525.0,-63.3222,
sweep_14_14_20260204_182632.csv,14,14,angled,20260204_182632,1516.0,-64.0492,
sweep_14_14_p_20260205_112859.csv,14,14,parallel,20260205_112859,1591.0,-66.3716,
sweep_15_15_20260204_183927.csv,15,15,angled,20260204_183927,1534.0,-65.2478,
sweep_15_15_20260204_184252.csv,15,15,angled,20260204_184252,1588.0,-66.769,
sweep_15_15_p_20260205_113128.csv,15,15,parallel,20260205_113128,1546.0,-65.8827,
sweep_16_16_20260204_184538.csv,16,16,angled,20260204_184538,1594.0,-66.1097,
sweep_16_16_p_20260205_113525.csv,16,16,parallel,20260205_113525,1591.0,-66.5536,
