file,sweep,structure,orient,timestamp,wavelength_nm_max,power_dBm_max,note
sweep_3_3_20260204_165126.csv,3,3,angled,20260204_165126,1597.0,-52.4336,
sweep_3_3_20260204_153506.csv,3,3,angled,20260204_153506,1638.0,-56.0678,
sweep_3_3_p_20260204_192853.csv,3,3,parallel,20260204_192853,1597.0,-49.8428,
sweep_7_7_20260204_161059.csv,7,7,angled,20260204_161059,1579.0,-58.7056,
sweep_7_7_p_20260204_195758.csv,7,7,parallel,20260204_195758,1594.0,-65.8058,
sweep_8_8_20260204_160416.csv,8,8,angled,20260204_160416,1546.0,-54.5752,
sweep_8_8_p_20260205_104129.csv,8,8,parallel,20260205_104129,1558.0,-49.6031,
sweep_8_8_p_20260204_201313.csv,8,8,parallel,20260204_201313,1588.0,-67.0202,
sweep_9_9_20260204_175441.csv,9,9,angled,20260204_175441,1600.0,-54.2783,
sweep_9_9_p_20260205_104424.csv,9,9,parallel,20260205_104424,1561.0,-51.1817,
sweep_10_10_20260204_175906.csv,10,10,angled,20260204_175906,1597.0,-56.0573,
sweep_10_10_p_20260205_105504.csv,10,10,parallel,20260205_105504,1600.0,-53.7408,
