# Wavelength Sweep
# Date: 2026-02-05 11:02:26
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 47.5 s
#
wavelength_nm,power_dBm
1480.00,-73.4243
1483.00,-74.1750
1486.00,-inf
1489.00,-80.2281
1492.00,-74.6122
1495.00,-72.3331
1498.00,-inf
1501.00,-73.9278
1504.00,-70.2639
1507.00,-72.7131
1510.00,-76.2451
1513.00,-79.2719
1516.00,-75.6416
1519.00,-71.4725
1522.00,-76.4791
1525.00,-73.5800
1528.00,-70.1752
1531.00,-71.7818
1534.00,-71.7068
1537.00,-72.7364
1540.00,-69.3991
1543.00,-70.4038
1546.00,-69.9751
1549.00,-72.3703
1552.00,-72.9385
1555.00,-78.8780
1558.00,-71.0098
1561.00,-70.6370
1564.00,-68.9353
1567.00,-68.8563
1570.00,-70.8215
1573.00,-70.8847
1576.00,-69.9281
1579.00,-70.5237
1582.00,-67.5705
1585.00,-68.2021
1588.00,-68.5551
1591.00,-68.2006
1594.00,-64.9074
1597.00,-66.5017
1600.00,-69.5331
