# Wavelength Sweep
# Date: 2026-01-30 13:11:54
# Start: 1480 nm
# Stop: 1600 nm
# Step: 1 nm
# Points: 121
# Duration: 155.9 s
#
wavelength_nm,power_dBm
1480.00,-60.4362
1481.00,-59.4187
1482.00,-60.4721
1483.00,-60.0873
1484.00,-59.5630
1485.00,-59.6058
1486.00,-59.5272
1487.00,-60.1858
1488.00,-59.6825
1489.00,-60.5272
1490.00,-60.0781
1491.00,-60.2708
1492.00,-60.0313
1493.00,-60.2300
1494.00,-58.8545
1495.00,-59.1336
1496.00,-59.2038
1497.00,-59.3396
1498.00,-58.9742
1499.00,-59.9377
1500.00,-59.6323
1501.00,-59.9688
1502.00,-59.4015
1503.00,-59.5405
1504.00,-58.0910
1505.00,-59.3130
1506.00,-58.6930
1507.00,-59.3355
1508.00,-59.1963
1509.00,-59.3369
1510.00,-58.3515
1511.00,-58.5628
1512.00,-58.4857
1513.00,-59.5569
1514.00,-59.6836
1515.00,-58.7906
1516.00,-59.3436
1517.00,-58.6835
1518.00,-59.7256
1519.00,-58.7790
1520.00,-59.4423
1521.00,-59.5693
1522.00,-58.9136
1523.00,-59.4646
1524.00,-59.3928
1525.00,-59.6929
1526.00,-60.0582
1527.00,-59.7810
1528.00,-59.5723
1529.00,-59.5557
1530.00,-58.9294
1531.00,-60.0011
1532.00,-59.4983
1533.00,-59.8646
1534.00,-59.1429
1535.00,-59.9751
1536.00,-59.9784
1537.00,-60.0722
1538.00,-59.4230
1539.00,-60.3759
1540.00,-59.9586
1541.00,-59.9035
1542.00,-59.3355
1543.00,-58.9338
1544.00,-58.9142
1545.00,-58.9706
1546.00,-58.1809
1547.00,-58.5653
1548.00,-58.3943
1549.00,-58.4464
1550.00,-58.2755
1551.00,-59.2400
1552.00,-57.8569
1553.00,-57.9360
1554.00,-57.7227
1555.00,-58.1383
1556.00,-57.6363
1557.00,-58.8031
1558.00,-58.9564
1559.00,-57.9512
1560.00,-58.3499
1561.00,-58.1856
1562.00,-58.6076
1563.00,-58.7519
1564.00,-59.6719
1565.00,-58.7420
1566.00,-58.9400
1567.00,-59.3304
1568.00,-58.9108
1569.00,-58.7422
1570.00,-59.7415
1571.00,-59.4940
1572.00,-59.0121
1573.00,-58.3946
1574.00,-59.6359
1575.00,-60.2164
1576.00,-59.6603
1577.00,-58.8505
1578.00,-58.8133
1579.00,-59.1903
1580.00,-58.6673
1581.00,-58.0494
1582.00,-59.4912
1583.00,-58.4193
1584.00,-57.8205
1585.00,-56.7297
1586.00,-56.8519
1587.00,-57.5611
1588.00,-57.9028
1589.00,-56.9249
1590.00,-57.5590
1591.00,-56.3000
1592.00,-56.0949
1593.00,-55.3987
1594.00,-56.0903
1595.00,-55.6654
1596.00,-55.6834
1597.00,-55.6885
1598.00,-55.8060
1599.00,-56.9274
1600.00,-57.1381
