# Wavelength Sweep
# Date: 2026-01-30 17:00:40
# Start: 1480 nm
# Stop: 1600 nm
# Step: 0.25 nm
# Points: 481
# Duration: 594.5 s
#
wavelength_nm,power_dBm
1480.00,-59.4072
1480.25,-59.4734
1480.50,-59.5943
1480.75,-59.2178
1481.00,-59.3252
1481.25,-59.4527
1481.50,-60.1424
1481.75,-60.2001
1482.00,-60.7685
1482.25,-59.9310
1482.50,-59.7912
1482.75,-60.0152
1483.00,-60.0425
1483.25,-59.7136
1483.50,-60.1137
1483.75,-60.0543
1484.00,-59.7604
1484.25,-59.3183
1484.50,-58.3443
1484.75,-59.5431
1485.00,-59.0483
1485.25,-58.5809
1485.50,-59.1104
1485.75,-59.0143
1486.00,-58.5510
1486.25,-58.2196
1486.50,-58.7049
1486.75,-59.1965
1487.00,-59.1516
1487.25,-58.8659
1487.50,-59.0407
1487.75,-58.3939
1488.00,-58.9520
1488.25,-59.1601
1488.50,-59.2619
1488.75,-59.5053
1489.00,-60.2991
1489.25,-59.6041
1489.50,-60.0102
1489.75,-60.1632
1490.00,-59.6476
1490.25,-60.0980
1490.50,-59.9412
1490.75,-60.1696
1491.00,-59.8327
1491.25,-59.6585
1491.50,-59.3531
1491.75,-59.2250
1492.00,-59.7455
1492.25,-59.6460
1492.50,-59.4573
1492.75,-59.8562
1493.00,-59.8370
1493.25,-59.3552
1493.50,-59.5273
1493.75,-59.0506
1494.00,-58.2429
1494.25,-58.7257
1494.50,-58.2641
1494.75,-58.2051
1495.00,-58.5781
1495.25,-57.8408
1495.50,-58.1828
1495.75,-59.0350
1496.00,-58.6524
1496.25,-58.1984
1496.50,-58.5372
1496.75,-58.3471
1497.00,-58.4851
1497.25,-58.1162
1497.50,-58.0091
1497.75,-59.2303
1498.00,-58.4459
1498.25,-58.5947
1498.50,-58.5665
1498.75,-58.2111
1499.00,-58.6168
1499.25,-58.4539
1499.50,-58.3507
1499.75,-59.4467
1500.00,-58.7983
1500.25,-58.9667
1500.50,-58.4773
1500.75,-58.5456
1501.00,-59.2709
1501.25,-58.4423
1501.50,-58.5805
1501.75,-58.5820
1502.00,-57.5697
1502.25,-58.3206
1502.50,-58.1924
1502.75,-58.0500
1503.00,-58.6367
1503.25,-57.2208
1503.50,-57.9574
1503.75,-57.8210
1504.00,-56.9383
1504.25,-57.8373
1504.50,-56.9997
1504.75,-57.7863
1505.00,-58.2271
1505.25,-58.0217
1505.50,-58.6605
1505.75,-58.0429
1506.00,-57.7556
1506.25,-58.0947
1506.50,-58.0159
1506.75,-58.7039
1507.00,-59.1733
1507.25,-58.3358
1507.50,-58.7628
1507.75,-58.7256
1508.00,-58.5363
1508.25,-58.3850
1508.50,-57.5588
1508.75,-58.7335
1509.00,-58.5847
1509.25,-58.3122
1509.50,-58.5658
1509.75,-57.6210
1510.00,-57.7623
1510.25,-58.1576
1510.50,-57.7587
1510.75,-58.4443
1511.00,-57.4945
1511.25,-57.2661
1511.50,-58.4298
1511.75,-57.2531
1512.00,-57.6699
1512.25,-57.7850
1512.50,-57.1360
1512.75,-58.4040
1513.00,-58.0069
1513.25,-57.9247
1513.50,-58.7493
1513.75,-57.7248
1514.00,-58.5371
1514.25,-58.7053
1514.50,-58.0461
1514.75,-58.7476
1515.00,-58.1222
1515.25,-58.3779
1515.50,-58.8027
1515.75,-58.5376
1516.00,-58.6537
1516.25,-58.2908
1516.50,-59.1332
1516.75,-59.0484
1517.00,-58.0117
1517.25,-59.0357
1517.50,-58.2170
1517.75,-58.5624
1518.00,-59.2431
1518.25,-58.1516
1518.50,-59.2285
1518.75,-59.2454
1519.00,-58.4002
1519.25,-58.9964
1519.50,-58.6738
1519.75,-58.7575
1520.00,-59.5252
1520.25,-58.6251
1520.50,-58.8714
1520.75,-58.4170
1521.00,-59.1722
1521.25,-58.7801
1521.50,-57.8594
1521.75,-58.6824
1522.00,-58.5529
1522.25,-58.3060
1522.50,-58.7413
1522.75,-58.4035
1523.00,-58.9152
1523.25,-58.4971
1523.50,-58.3836
1523.75,-59.0323
1524.00,-59.1206
1524.25,-59.2334
1524.50,-58.8964
1524.75,-60.0451
1525.00,-59.4563
1525.25,-59.3208
1525.50,-60.1025
1525.75,-59.7026
1526.00,-59.5362
1526.25,-59.3802
1526.50,-58.6145
1526.75,-59.8054
1527.00,-59.5670
1527.25,-59.1143
1527.50,-59.5161
