# Wavelength Sweep
# Date: 2026-02-04 17:06:31
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 48.9 s
#
wavelength_nm,power_dBm
1480.00,-inf
1483.00,-79.7063
1486.00,-79.7093
1489.00,-77.4815
1492.00,-76.6894
1495.00,-inf
1498.00,-inf
1501.00,-inf
1504.00,-86.3685
1507.00,-74.7774
1510.00,-76.4686
1513.00,-78.4755
1516.00,-82.3134
1519.00,-inf
1522.00,-77.8106
1525.00,-82.3211
1528.00,-79.2845
1531.00,-inf
1534.00,-76.7235
1537.00,-77.5201
1540.00,-inf
1543.00,-inf
1546.00,-78.4975
1549.00,-76.2703
1552.00,-74.2239
1555.00,-81.5320
1558.00,-79.7550
1561.00,-inf
1564.00,-inf
1567.00,-inf
1570.00,-inf
1573.00,-inf
1576.00,-76.0611
1579.00,-inf
1582.00,-inf
1585.00,-78.8834
1588.00,-77.2479
1591.00,-82.3372
1594.00,-inf
1597.00,-89.5536
1600.00,-inf
